dataset,subset_frac,model,best_test_acc,params,flops,latency_ms,img_size,batch_size,epochs,lr,weight_decay,seed
cifar100,0.1,resnet18,0.6008,11227812,3649704136.0,2.5412583351135254,224,128,20,0.0003,0.05,42
cifar100,0.1,efficientnet_b0,0.6942,4135648,781911096.0,8.058762550354004,224,128,20,0.0003,0.05,42
cifar100,0.1,vit_tiny_patch16_224,0.7141,5543716,1825427408.0,5.132184028625488,224,128,20,0.0003,0.05,42
cifar100,0.1,deit_tiny_patch16_224,0.6921,5543716,1825427408.0,5.248045921325684,224,128,20,0.0003,0.05,42
cifar100,0.25,resnet18,0.7304,11227812,3649704136.0,2.623577117919922,224,128,20,0.0003,0.05,42
cifar100,0.25,efficientnet_b0,0.7837,4135648,781911096.0,8.3827543258667,224,128,20,0.0003,0.05,42
cifar100,0.25,vit_tiny_patch16_224,0.795,5543716,1825427408.0,5.162613391876221,224,128,20,0.0003,0.05,42
cifar100,0.25,deit_tiny_patch16_224,0.7698,5543716,1825427408.0,5.212604999542236,224,128,20,0.0003,0.05,42
cifar100,0.5,resnet18,0.7833,11227812,3649704136.0,2.5940728187561035,224,128,20,0.0003,0.05,42
cifar100,0.5,efficientnet_b0,0.8241,4135648,781911096.0,8.484172821044922,224,128,20,0.0003,0.05,42
cifar100,0.5,vit_tiny_patch16_224,0.8321,5543716,1825427408.0,5.245356559753418,224,128,20,0.0003,0.05,42
cifar100,0.5,deit_tiny_patch16_224,0.8035,5543716,1825427408.0,5.2457356452941895,224,128,20,0.0003,0.05,42
tiny_imagenet,0.1,resnet18,0.6143,11279112,3649806736.0,2.5818562507629395,224,128,20,0.0003,0.05,42
tiny_imagenet,0.1,efficientnet_b0,0.6909,4263748,782167296.0,8.281943798065186,224,128,20,0.0003,0.05,42
tiny_imagenet,0.1,vit_tiny_patch16_224,0.6298,5563016,1825466008.0,5.2135491371154785,224,128,20,0.0003,0.05,42
tiny_imagenet,0.1,deit_tiny_patch16_224,0.6297,5563016,1825466008.0,5.155999660491943,224,128,20,0.0003,0.05,42
tiny_imagenet,0.25,resnet18,0.6838,11279112,3649806736.0,2.50363826751709,224,128,20,0.0003,0.05,42
tiny_imagenet,0.25,efficientnet_b0,0.7436,4263748,782167296.0,8.130979537963867,224,128,20,0.0003,0.05,42
tiny_imagenet,0.25,vit_tiny_patch16_224,0.6883,5563016,1825466008.0,5.334024429321289,224,128,20,0.0003,0.05,42
tiny_imagenet,0.25,deit_tiny_patch16_224,0.6846,5563016,1825466008.0,5.359833240509033,224,128,20,0.0003,0.05,42
tiny_imagenet,0.5,resnet18,0.7149,11279112,3649806736.0,2.578105926513672,224,128,20,0.0003,0.05,42
tiny_imagenet,0.5,efficientnet_b0,0.7689,4263748,782167296.0,8.375849723815918,224,128,20,0.0003,0.05,42
tiny_imagenet,0.5,vit_tiny_patch16_224,0.7285,5563016,1825466008.0,5.3147125244140625,224,128,20,0.0003,0.05,42
tiny_imagenet,0.5,deit_tiny_patch16_224,0.7122,5563016,1825466008.0,5.3453755378723145,224,128,20,0.0003,0.05,42
